name,type,start_time,duration,"mosi","miso"
"SPI","result",0.03649578,7.5e-06,0x00,0x00
"SPI","disable",0.036505316,2e-09,,
"SPI","enable",0.0365557,2e-09,,
"SPI","result",0.036556802,7.5e-06,0x00,0x0B
"SPI","result",0.036564802,7.5e-06,0x00,0x7F
"SPI","disable",0.036574338,2e-09,,
"SPI","enable",0.036754966,2e-09,,
"SPI","result",0.03676388,7.5e-06,0x00,0x00
"SPI","result",0.03677188,7.5e-06,0x00,0x00
"SPI","disable",0.036781416,2e-09,,
"SPI","enable",0.0368318,2e-09,,
"SPI","result",0.036832902,7.5e-06,0x00,0x0B
"SPI","result",0.036840902,7.5e-06,0x00,0x7F
"SPI","disable",0.036850438,2e-09,,
"SPI","enable",0.037027042,2e-09,,
"SPI","result",0.037035956,7.5e-06,0x00,0x00
"SPI","result",0.037043956,7.5e-06,0x00,0x00
"SPI","disable",0.037053492,2e-09,,
"SPI","enable",0.037103514,2.00000001e-09,,
"SPI","result",0.037104614,7.502e-06,0x00,0x0B
"SPI","result",0.037112614,7.502e-06,0x00,0x80
"SPI","disable",0.037122414,2e-09,,
"SPI","enable",0.03731143,1.99999999e-09,,
"SPI","result",0.037320344,7.5e-06,0x00,0x00
"SPI","result",0.037328342,7.502e-06,0x00,0x00
"SPI","disable",0.037337878,2e-09,,
"SPI","enable",0.037388976,2e-09,,
"SPI","result",0.037390078,7.5e-06,0x00,0x0B
"SPI","result",0.037398076,7.502e-06,0x00,0x7F
"SPI","disable",0.037407614,2e-09,,
"SPI","enable",0.037584304,2e-09,,
"SPI","result",0.037593218,7.5e-06,0x00,0x00
"SPI","result",0.037601218,7.5e-06,0x00,0x00
"SPI","disable",0.037610754,2e-09,,
"SPI","enable",0.037661764,2e-09,,
"SPI","result",0.037662866,7.5e-06,0x00,0x0B
"SPI","result",0.037670864,7.502e-06,0x00,0x7F
"SPI","disable",0.037680402,2e-09,,
"SPI","enable",0.037860942,2e-09,,
"SPI","result",0.037869856,7.5e-06,0x00,0x00
"SPI","result",0.037877856,7.5e-06,0x00,0x00
"SPI","disable",0.037887392,2e-09,,
"SPI","enable",0.037937952,2.00000001e-09,,
"SPI","result",0.037939052,7.502e-06,0x00,0x4B
"SPI","result",0.037947052,7.5e-06,0x00,0x7F
"SPI","disable",0.037956588,2e-09,,
"SPI","enable",0.038142668,1.99999999e-09,,
"SPI","result",0.038151582,7.5e-06,0x00,0x80
"SPI","result",0.03815958,7.5e-06,0x00,0x00
"SPI","disable",0.038169116,2e-09,,
"SPI","enable",0.03821959,2e-09,,
"SPI","result",0.03822069,7.5e-06,0x00,0x0B
"SPI","result",0.03822869,7.5e-06,0x00,0x7F
"SPI","disable",0.038238226,2e-09,,
"SPI","enable",0.038418768,1.99999999e-09,,
"SPI","result",0.038427682,7.5e-06,0x00,0x00
"SPI","result",0.03843568,7.502e-06,0x00,0x00
"SPI","disable",0.038445218,1.99999999e-09,,
"SPI","enable",0.03849569,2e-09,,
"SPI","result",0.03849679,7.5e-06,0x00,0x0B
"SPI","result",0.03850479,7.5e-06,0x00,0x80
"SPI","disable",0.038514326,1.99999999e-09,,
"SPI","enable",0.038690918,2e-09,,
"SPI","result",0.038699832,7.5e-06,0x00,0x00
"SPI","result",0.03870783,7.502e-06,0x00,0x00
"SPI","disable",0.038717368,2e-09,,
"SPI","enable",0.038767752,2e-09,,
"SPI","result",0.038768854,7.5e-06,0x00,0x0B
"SPI","result",0.038776852,7.502e-06,0x00,0x7F
"SPI","disable",0.03878639,2.00000001e-09,,
"SPI","enable",0.03896693,2e-09,,
"SPI","result",0.038975844,7.5e-06,0x00,0x00
"SPI","result",0.038983844,7.5e-06,0x00,0x00
"SPI","disable",0.03899338,1.99999999e-09,,
"SPI","enable",0.039043402,1.99999999e-09,,
"SPI","result",0.039044504,7.5e-06,0x00,0x4B
"SPI","result",0.039052502,7.502e-06,0x00,0x80
"SPI","disable",0.03906204,2e-09,,
"SPI","enable",0.039252092,1.99999999e-09,,
"SPI","result",0.039261006,7.5e-06,0x00,0x80
"SPI","result",0.039269006,7.5e-06,0x00,0x00
"SPI","disable",0.039278542,1.99999999e-09,,
"SPI","enable",0.039329464,2e-09,,
"SPI","result",0.039330566,7.5e-06,0x00,0x0B
"SPI","result",0.039338564,7.502e-06,0x00,0x80
"SPI","disable",0.039348102,1.99999999e-09,,
"SPI","enable",0.039528642,1.99999999e-09,,
"SPI","result",0.039537556,7.5e-06,0x00,0x00
"SPI","result",0.039545556,7.5e-06,0x00,0x00
"SPI","disable",0.039555092,1.99999999e-09,,
"SPI","enable",0.039605564,2e-09,,
"SPI","result",0.039606666,7.5e-06,0x00,0x0B
"SPI","result",0.039614666,7.5e-06,0x00,0x7E
"SPI","disable",0.039624202,2.00000001e-09,,
"SPI","enable",0.039800806,2e-09,,
"SPI","result",0.03980972,7.5e-06,0x00,0x80
